"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID","","","",
"Johannes Sleidanus: Histoire des qvatre empires sovverains .... Genf 1558.","Genf","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ga 309","6.148113","46.195602","1558","","","7007279","","","",
"Ferdinand Ludwig Von Bressler Und Aschenburg: Les Souverains Du Monde. Den Haag 1721.","Den Haag","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ff 135","4.3","52.083333","1721","","","7006810","","","",
"Abbé de Vallemont: Les elemens de l'histoire ou ce qu'il faut scaÌ§voir de chronologie, de geographie, de blazon, de l'histoire universelle, de l'eglise de l'ancien testament, des monarchies anciennes, de l'eglise du nouveau testament, & des monarchies nouvelles. Amsterdam 1701.","Amsterdam","","4.916667","52.35","1701","","","7006952","","","",
"Tablettes de tous les ministres public des cours souveraines de l'Europe avec leurs titres, noms, fonctions et adresses. Amsterdam 1729.","Amsterdam","","4.916667","52.35","1729","","","7006952","","","",
"Simon Pelloutier: Histoire Des Celtes, Et Particuliérement Des Gaulois Et Des Germains, Depuis Les Tems fabuleux jusqu'à la Prise de Rome par les Gaulois. Den Haag 1750.","Den Haag","","4.3","52.083333","1750","","","7006810","","","",
"Pierre Massuet: Histoire De L'Empereur Charles VI, Et Des Revolutions Arrivées dans l'Empire sous le Régne des Princes de l'Auguste Maison D'Autriche, depuis Rodolphe Comté de Habsbourg jusqu'à présent. Amsterdam 1741.","Amsterdam","","4.916667","52.35","1741","","","7006952","","","",
"Mémoires Du Gouvernement De L'Empire. Den Haag 1741.","Den Haag","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gl 3142","4.3","52.083333","1741","","","7006810","","","",
"Jacques Auguste de Thou: Histoire Universelle. Basel 1742.","Basel","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ge 4° 60","7.615195","47.566901","1742","","","7007667","","","",
"Histoire Universelle, Depuis Le Commencement Du Monde, Jusqu'A Present. Amsterdam 1742.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gb 4° 13","4.916667","52.35","1742","","","7006952","","","",
"Paul Henri Mallet: Introduction à l'histoire de Dannemarc, ou l'on traite de la Religion, des Loix, des Moeurs & des Usages des Ancien Dannois. Kopenhagen 1755.","Kopenhagen","#Skandinavien","12.5667","55.7167","1755","","","7003474","","","",
"Juan de Mariana: Histoire générale d'Espagne du Jean de Mariana. Paris 1725.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gi 4° 33","2.333333","48.866667","1725","","","7008038","","","",
"Pierre Parisot: Mémoires Historiques Présentés En 1744 Au Souverain Pontife Bénoit XIV. .... Besançon 1747.","Besançon","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Tq 917","6.166667","47.25","1747","","","7664490","","","",
"Lamberty, Guillaume: Mémoires pour servir à l'histoire du XVIII siécle. Den Haag 1724.","Den Haag","","4.3","52.083333","1724","","","7006810","","","",
"Johan Arckenholtz: Mémoires concernant Christine, Reine de Suéde, pour servir d'éclaircissement à l'histoire de son régne et principalement de sa vie privée, et aux événements de l'histoire de son temps civile et litéraire. Amsterdam 1751.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gs 4° 25 #Skandinavien","4.916667","52.35","1751","","","7006952","","","",
"Johann von Heiss: Histoire De L'Empire. Den Haag 1715.","Den Haag","","4.3","52.083333","1715","","","7006810","","","",
"Johann Friedrich Schannat: Histoire Abrégée De La Maison Palatine, Par Mr. l'Aabbé Schannat, OÃ¹ on a joint Une Dissertation Préliminaire Sur les Comtes Palatins Du Moyen Age.. Frankfurt am Main 1740.","Frankfurt am Main","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gm 3608","8.683333","50.116667","1740","","","7005293","","","",
"Éléazar de Mauvillon: Le Droit Public Germanique. Amsterdam 1749.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ro 383","4.916667","52.35","1749","","","7006952","","","",
"Gautier de Faget : Dialogues entre Charles VI., seiziéme empereur de la maison d'Autriche, et Frederic Guillaume, Roi de Prusse .... Köln 1742.","Köln","","6.6667","50.9333","1742","","","1003171","","","",
"Éléazar de Mauvillon: Histoire De La Derniere Guerre de BohÃªme, OÃ¹ L'on Trouve 1. La Carte des Environs de Czaslau, avec le plan de la bataille qui y fut donnée entre les Autrichiens, et les Prussiens, 2. Le Plan de la Ville et du Siége de Prague, 3. Celui de la Ville d'Egra et de ses Environs, avec le plan du blocus formé par les troupes de la reine d'Hongrie, 4. La Plan de la Bateille de Dettingen, entre l'armée des FrancÌœois commandée par le Maréchal de Noailles, et celle des Alliés commandée par le roi d'Angleterre. Frankfurt am Main 1745.","Frankfurt am Main","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gl 3100","8.683333","50.116667","1745","","","7005293","","","",
"Blanc, Thomas: Histoire de Baviére. Paris 1680.","Paris","","2.333333","48.866667","1680","","","7008038","","","",
"Theodor von Strattman: Testament Politique De Charles Duc De Lorraine Et De Bar. Leipzig 1687.","Leipzig","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: Xd 8° 1161: ","12.333333","51.3","1687","","","7139158","","","",
"Jean de Labrune: La Vie De Charles V Duc De Lorraine Et De Bar, Généralissime des Troupes Impériales. Amsterdam 1691.","Amsterdam","","4.916667","52.35","1691","","","7006952","","","",
"Recveil de la negotiation de la paix traictée à Covlogne an la présence des commissaires de la mate imperiale entre les ambassadeurs du ser. roy catholique, [et] de l'archiduc Matthias [et] les estatz du paÃ¯s bas: fidelement descrit du protocole desdits estats. Antwerpen 1580.","Antwerpen","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gp 308 (1)","4.833333","51.166667","1580","","","7003456","","","",
"Karl Ludwig von Pöllnitz: Histoire Secrette De La Duchesse D'Hanover, Epouse De Georges Premier, Roi De La Grande Bretagne. London 1732.","London","","-.093689","51.514125","1732","","","7011798","","","",
"Antoine Bruneau: Estat present des affaires d'Allemagne, avec Les Interests & les Genealogies des Princes de l'Empire. Lyon 1675.","Lyon","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gl 658","4.846711","45.748457","1675","","","7008772","","","",
"Louis Maimbourg: Histoire De La Decadence De L'Empire, Aprés Charlemagne, Et Des Differends Des Empereurs avec les Papes au sujet des Investitures, & de l'Indépendance. Paris 1679.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gl 2974","2.333333","48.866667","1679","","","7008038","","","",
"Antoine Teissier: Abrege De L'Histoire Des Electeurs De Brandebourg Par Demandes [et] Reponses. Berlin 1705.","Berlin","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gm 1258","13.4167","52.5","1705","","","7003670","","","",
"Simon de Vries: La Vie Et Les Actions De Monseigneur Christophle Bernard de Gale, Evéque de Munster Prince du St. Empire, Administrateura Corvay, Marquis de Strombergh, &c.. Köln 1679.","Köln","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Db 1444","6.6667","50.9333","1679","","","1003171","","","",
"Jean Baptiste de Rocoles: Histoire De l'Empire d'Allemagne, Son Origine, ses revolutions. Den Haag 1681.","Den Haag","","4.3","52.083333","1681","","","7006810","","","",
"Gilbert Burnet: Voyage De Suisse, D'Italie, Et De Quelques Endroits d'Allemagne & de France, fait és années 1685, & 1686. Rotterdam 1688.","Rotterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Cc 138","4.5","51.916667","1688","","","7006792","","","",
"Barthélemy Barnaud: Memoires Pour servir à l'Histoire Des Troubles Arrivés En Suisse, À L'Occasion Du Consensus. Amsterdam 1726.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gq 10","4.916667","52.35","1726","","","7006952","","","",
"Josias Simmler: La Repvbliqve Des Svisses. Genf 1639.","Genf","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gq 154","6.148113","46.195602","1639","","","7007279","","","",
"Gustaf Adlerfelt: Histoire Militaire De Charles XII. Roi De Suede, Depuis l'an 1700, jusqu'à la Bataille de Pultowa en 1709, écrite par ordre exprés de Sa Majesté. Amsterdam 1740.","Amsterdam","#Skandinavien","4.916667","52.35","1740","","","7006952","","","",
"Theyls, Willem: Mémoires pour servir à l'histoire de Charles XII., roi de Suéde. Leiden 1722.","Leiden","#Skandinavien","4.5","52.15","1722","","","7006809","","","",
"René-Aubert Vertot: Histoire Des Révolutions De Suéde, Ou l'on voit les changemens qui sont arrivez dans ce Royaume au sujet de la Religion & du Gouvernement. Amsterdam 1722.","Amsterdam","#Skandinavien","4.916667","52.35","1722","","","7006952","","","",
"Les Anecdotes de Suéde ou l'histoire secréte des changements arrivez dans la Suéde sous le regne de Charles XI.. Den Haag 1716.","Den Haag","#Skandinavien","4.3","52.083333","1716","","","7006810","","","",
"Jean Le Royer de Prade: L'Histoire de Gustave Adolphe dit le Grand, et de Charles-Gustave Comte Palatin, Roys de Suéde, et de tout ce qui s'est passé en Allemagne pendant leur vie. Paris 1694.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gs 395 #Skandinavien","2.333333","48.866667","1694","","","7008038","","","",
"Jodocus Crull: Memoires De Dannemark. Utrecht 1701.","Utrecht","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gs 225 #Skandinavien","5.25","52","1701","","","7003627","","","",
"Robert Molesworth, 1st Viscount Molesworth: Etat Present Du Royaume De Danemarc, Par lequel on voit le fort, & le foible de cette Couronne; Avec Des Remarques Trés-utiles, sur son Gouvernement despotique, & la conduite qu'elle tient aujourd'hui. Paris 1715.","Paris","#Skandinavien","2.333333","48.866667","1715","","","7008038","","","",
"Robinson, John: L'État Présent De La Suéde, Avec Un Abrégé De l'Histoire de ce Royaume. Amsterdam 1720.","Amsterdam","#Skandinavien","4.916667","52.35","1720","","","7006952","","","",
"Robert Molesworth, 1st Viscount Molesworth: Etat Du Royaume De Danemark, Tel Qu'il Etoit En 1692. Amsterdam 1695.","Amsterdam","#Skandinavien","4.916667","52.35","1695","","","7006952","","","",
"Jean Payen de La Fouleresse: L'État présent des differens nouvellement survenus entre le Roi de Danemark et le Duc de Holstein-Gotorf. Amsterdam 1697.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gs 227 #Skandinavien","4.916667","52.35","1697","","","7006952","","","",
"Pierre Chanut: Memoires de ce qui s'est passé en Suede et aux Provinces voisines, depuis l'année 1645 jusques en l'année 1655; ensemble le demÃªlé de la Suéde avec la Pologne. Köln 1677.","Köln","#Skandinavien","6.6667","50.9333","1677","","","1003171","","","",
"Recueil de quelques piéces curieuses, servant à l'esclaircissement de l'histoire de la vie de la Reyne Christine. Köln 1668.","Köln","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gs 415 #Skandinavien","6.6667","50.9333","1668","","","1003171","","","",
"Béchet, Antoine: Histoire du ministére du Cardinal Martinusius, Archevéque de Strigonie, Primat et Régent du royaume de Hongrie. Paris 1715.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Go 225","2.333333","48.866667","1715","","","7008038","","","",
"Claude de Vanel: Histoire des troubles de Hongrie. Amsterdam 1722.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Go 270","4.916667","52.35","1722","","","7006952","","","",
"Gaspard de Tende: Relation historique de la Pologne, Contenant le pouvoir de ses rois, leur élection et leur couronnement .... Paris 1697.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Go 219","2.333333","48.866667","1697","","","7008038","","","",
"Jean-Baptiste de Chévremont: L'État Actuel De La Pologne. Köln 1702.","Köln","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Go 222","6.6667","50.9333","1702","","","1003171","","","",
"Simon Tyssot de Patot: La Vie, Les Avantures, & le Voyage De Groenland Du Révérend Pere Cordelier Pierre De Mesange. Amsterdam 1720.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gs 560 #Skandinavien","4.916667","52.35","1720","","","7006952","","","",
"Daniel Ernst Jablonski: Thorn Affligée Ou Relation De Ce Qui S'Est Passé Dans cette Ville depuis le 16. Juillet 1724 jusqu'à présent, tirée de mémoires certains .... Amsterdam 1726.","Amsterdam","","4.916667","52.35","1726","","","7006952","","","",
"Blomberg, ...: Description de la Livonie, avec une relation de l'origine, du progrés, et de la décadence de l'ordre teutonique .... Utrecht 1705.","Utrecht","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gu 446 ","5.25","52","1705","","","7003627","","","",
"Discours sur le gouvernemnt de Pologne ou la politique des Polonois. Paris 1670.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Go 198","2.333333","48.866667","1670","","","7008038","","","",
"Michel-David de La Bizardière: Histoire De La Scission Ou Division Arrivée En Pologne Le XXVII. Juin M.DC.XCVII. Au Sujet De L'Election D'Un Roy. Paris 1700.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Go 121","2.333333","48.866667","1700","","","7008038","","","",
"J. G. Jolli: Histoire De Pologne, Et Du Grand Duché De Lituanie. Amsterdam 1698.","Amsterdam","","4.916667","52.35","1698","","","7006952","","","",
"Jean-Antoine du Cerceau: Conjuration De Nicolas Gabrini Dit De Rienzi, Tyran De Rome En MCCCXLVII.. Amsterdam 1734.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Db 3787","4.916667","52.35","1734","","","7006952","","","",
"Pieces Dv Memorable Proces Esmev L'An M.DC.VI. Entre Le Pape Paul V. Et Les Seignevrs De Venise. Genf 1607.","Genf","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gh 711","6.148113","46.195602","1607","","","7007279","","","",
"Carlo Visconti: Lettres, anecdotes et mémoires historiques du Nonce Visconti, Cardinal Préconisé, &  Ministre de Pie IV. & au Concile de Trente, dont Plusieurs intrigues inouies. Se trouvent dans ces rélations, mises au jour, en Italien & en François, par Mr. Aymon .... Amsterdam 1719.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Tq 1306","4.916667","52.35","1719","","","7006952","","","",
"Paolo Sarpi: Le Prince de Fra Paolo. Berlin 1751.","Berlin","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Lk 717","13.4167","52.5","1751","","","7003670","","","",
"Paolo Sarpi: Les droit des Souverains défendus contre les excommunications [et] les interdits des Papes. Den Haag 1721.","Den Haag","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Rb 808","4.3","52.083333","1721","","","7006810","","","",
"Vaure, Claude: La covr de Rome la saincte. Paris 1623.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Rb 752","2.333333","48.866667","1623","","","7008038","","","",
"Jean Sarasin: Le Citadin De Geneve. Ov Response Av Cavalier de Sauoye .... Paris 1606.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gq 143","2.333333","48.866667","1606","","","7008038","","","",
"Histoire des conclaves depuis Clément V. jusqu'à présent. Köln 1703.","Köln","","6.6667","50.9333","1703","","","1003171","","","",
"Chilliat, Michel: Méthode facile pour apprendre l'histoiore de Savoye depuis son origine jusqu'à présent .... Paris 1707.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gh 509","2.333333","48.866667","1707","","","7008038","","","",
"Dominique Bouhours: Histoire de Pierre d'Aubusson, grand-maistre de Rhodes. Paris 1677.","Paris","","2.333333","48.866667","1677","","","7008038","","","",
"Les Merveilles de la ville de Rome, ou est traité des églises, stations, et reliques des corps saints .... Rom 1718.","Rom","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gh 82","12.483333","41.9","1718","","","7000874","","","",
"François-Jacques Deseine: Rome moderne, premiére ville de l'Europe, avec toutes ses magnificences et ses délices .... Leiden 1713.","Leiden","","4.5","52.15","1713","","","7006809","","","",
"François-Jacques Deseine: L' Ancienne Rome, La principale des Villes de l'Europe. Leiden 1713.","Leiden","","4.5","52.15","1713","","","7006809","","","",
"Pietro Tosini: La liberté de l'Italie démontrée à ses princes, et à ses peuples. Amsterdam 1718.","Amsterdam","","4.916667","52.35","1718","","","7006952","","","",
"Antonio Maria Graziani: La Vie Du Cardinal Jean François Commendon oÃ¹ l'on voit ses Voyages, Ambassades, Legations & Negotiations, dans les plus considerables Cours des Empereurs, Rois, Princes & Republiques de l'Europe. Paris 1694.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Db 901","2.333333","48.866667","1694","","","7008038","","","",
"Jacob Spon: Voyage D'Italie, De Dalmatie, De Grece, Et Dv Levant, Fait aux années 1675. [et] 1676. par Iacob Spon Docteur Medecin Aggregé à Lyon, [et] George Vvheler Gentilhomme Anglois. Lyon 1678.","Lyon","","4.846711","45.748457","1678","","","7008772","","","",
"François-Jacques Deseine: Nouveau Voyage D'Italie Contenant Une Description Exacte de toutes ses Provinces, Villes, & lieux considérables, & des Isles qui en dépendent, Avec Les Routes, Et Chemins Publics pour y parvenir, La Distance Des Lieux, Et Les Choses remarquables qu'on y rencontre .... Lyon 1699.","Lyon","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gh 198","4.846711","45.748457","1699","","","7008772","","","",
"Maximilien Misson: Nouveau Voyage D'Italie. Den Haag 1702.","Den Haag","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gh 233","4.3","52.083333","1702","","","7006810","","","",
"Friedrich Spanheim the Younger: Histoire De La Papesse Jeanne. Den Haag 1720.","Den Haag","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Tq 1187 (1)","4.3","52.083333","1720","","","7006810","","","",
"Antoine Varillas: Les Anecdotes De Florence, Ou L'Histoire Secréte De La Maison De Medicis. Den Haag 1685.","Den Haag","","4.3","52.083333","1685","","","7006810","","","",
"Mailly, Louis de: Histoire De La République De GÃªnes. Amsterdam 1697.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gh 356","4.916667","52.35","1697","","","7006952","","","",
"Pierre Dupuy: Histoire De La Condannation Des Templiers. Brüssel 1713.","Brüssel","","4.333333","50.833333","1713","","","7007868","","","",
"Casimir Freschot: État Ancien Et Moderne Des Duchés De Florence, Modene, Mantoue, & Parme. Utrecht 1711.","Utrecht","","5.25","52","1711","","","7003627","","","",
"La Sardaigne Paranymphe De La Paix Aux Souverains De L'Europe. Boulogne-sur-Mer 1714.","Boulogne-sur-Mer","","1.833333","50.75","1714","","","7659412","","","",
"Casimir Freschot: L'état du Siége de Rome Dés le commencement du Siécle passé jusqu'à present.. Köln 1707.","Köln","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Rb 753","6.6667","50.9333","1707","","","1003171","","","",
"Les aventures de Joseph Pignata echappé des prisons de l'iquisition de Rome. Köln 1725.","Köln","","6.6667","50.9333","1725","","","1003171","","","",
"Casimir Freschot: Nouvelle relation de la ville & republique de Venise. Utrecht 1709.","Utrecht","","5.25","52","1709","","","7003627","","","",
"Louis Ellies Dupin: Defense De La Monarchie De Sicile Contre Les Entreprises De La Cour De Rome. Amsterdam 1716.","Amsterdam","","4.916667","52.35","1716","","","7006952","","","",
"Jean-Chrysostome Bruslé de Montpleinchamp: L'Histoire D'Emmanuel Philibert, Duc De Savoie, Gouverneur General De La Belgique. Amsterdam 1692.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Db 3977","4.916667","52.35","1692","","","7006952","","","",
"Jacob Spon: Histoire De La Ville Et de l'Estat De Geneve. Lyon 1682.","Lyon","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gq 156","4.846711","45.748457","1682","","","7008772","","","",
"Raimond de Mormoiron, Esprit: Histoire des revolutions de la ville et du royaume de Naples .... Paris 1667.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gh 442","2.333333","48.866667","1667","","","7008038","","","",
"Leonardo Bruni: Histoire de la guerre des Gots en Italie. Paris 1667.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Gl 664","2.333333","48.866667","1667","","","7008038","","","",
"Limojon de Saint-Didier: La Ville Et La Republique De Venise. Amsterdam 1680.","Amsterdam","","4.916667","52.35","1680","","","7006952","","","",
"Alquié, François-Savinien d': Les Mémoires Du Voyage de Monsieur le Marquis De Ville au Levant, Ou l'Histoire curieuse du Siege de Candie. Amsterdam 1670.","Amsterdam","#Asien","4.916667","52.35","1670","","","7006952","","","",
"Balbani, Niccolò: La Vie De Galeas Caraciol, Marquis De Vico; Et l'Histoire de la fin tragique de François Spiere. Amsterdam 1682.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Db 804","4.916667","52.35","1682","","","7006952","","","",
