ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog und edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
11;10;I;(b), 2. rang in octav.;37;"Hist. universelle, chronologie geographie
geographie";10;2;Introduction ‡ la geographie universelle, trad. du Latin de Th. Cl?ver, Rouen 1649.;;21277610X;;1;21277610X;M: Ca 176;M: Ca 176;Geographie - Handb¸cher etc.;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Introduction a la geographie universelle, tant nouvelle, qu'ancienne;1649;Rouen;Rouen;4050751-8;Rouen;tgn/7008929;Philipp;Cl¸ver;Philipp Cl¸ver;Q63419;male;119150867;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
12;11;I;(b), 2. rang in octav.;38-41;"Hist. universelle, chronologie geographie
geographie";10;2;Methode pour etudier la Geographie. Amst. 1718. T. I. II. III. IV. V. VI.;;137905068;;4;216399254;M: Ca 193:1;;Geographie - Handb¸cher etc.;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;MÈthode pour Ètudier la GÈographie;1718;A Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Nicolas;Lenglet Du Fresnoy;Nicolas Lenglet du Fresnoy;Q1986633;male;118907026;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
13;12;I;(b), 2. rang in octav.;42-47;"Hist. universelle, chronologie geographie
geographie";10;2;Histoire profane, par L. E. Du Pin, Anvers 1717. T. I. II. III. IV. V. VI.;;138471193;;6;180054317;M: Gb 87:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;L' Histoire Profane Depuis son commencement jusqu'‡ prÈsent;1717;A Anvers;Antwerpen;4002364-3;Antwerpen;tgn/7003456;Louis Ellies;Du Pin;Louis Ellies Dupin;Q3261837;male;100115993;Unbekannt;;;;;;;;;Jean FranÁois;Lucas;1037573420;Unbekannt;;;;;;;;;;;;;;
14;13;I;(b), 2. rang in octav.;48-49;"Hist. universelle, chronologie geographie
geographie";10;2;Hist. universelle trad. du Latin du P. Tursellin, Amst. 1708. T. I. II.;;22610642X;;2;226106608;M: Gb 309:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Histoire Universelle;1708;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Orazio;Torsellini;Orazio Torsellino;Q1776231;male;100567894;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
15;14;I;(b), 2. rang in octav.;50;"Hist. universelle, chronologie geographie
geographie";11;3;Hist. chronologique des Papes des Empereurs et des Rois, Par. 1711.;;150078102;;1;150078102;M: Fd 139a, M: Fd 139b, Schulenb. F 42;M: Fd 139b;Historische Hilfswissenschaften - Chronologie;Provenienzen bereits im OPAC nachgewiesen;;Exlibris: Ex Bibliotheca LR Ducis Brunsvicensis Et Luneburgensis, Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Ludwig Rudolf <Braunschweig-Wolfenb¸ttel, Herzog> / Exlibris / Monogramm, Provenienz: Ludwig Rudolf <Braunschweig-Wolfenb¸ttel, Herzog> / Nummer, Ludwig Rudolf <Braunschweig-L¸neburg, Herzog>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;Histoire Chronologique Des Papes, Des Empereurs Et Des Rois, Qui ont regnÈ en Europe depuis la Naissance de Jesus-Christ jusqu'‡ present;1714;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;15;I;(b), 2. rang in octav.;51;"Hist. universelle, chronologie geographie
geographie";11;3;Hist. des IV. Empires Souverains, par J. Sleidan. 1658.;;233644237;;1;233644237;M: Ga 309;M: Ga 309;Geschichte - Lexica, Methodisches, Geschichtsphilosophie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Histoire des qvatre empires sovverains ...;1558;GenÈve;Genf;4020137-5;GenËve;tgn/7003746;Johannes;Sleidanus;Johannes Sleidanus;Q70310;male;118748440;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
17;16;I;(b), 2. rang in octav.;52-55;"Hist. universelle, chronologie geographie
geographie";11;3;Les Souverains du monde, Haie 1722. T. I. II. III. IV.;;150846215;;4;150846223;M: Ff 135;M: Ff 135;Historische Hilfswissenschaften - Genealogie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acu;fre;Les Souverains Du Monde;1721;A La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Ferdinand Ludwig;Bressler und Aschenburg;Ferdinand Ludwig Von Bressler Und Aschenburg;Q56006874;male;11649218X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
18;17;I;(b), 2. rang in octav.;56-58;"Hist. universelle, chronologie geographie
geographie";11;3;Les Elemens de l'hist. par P. L. L. de Vallemont, Amst. 1701. T. I. II. III.;;236691449;;3;236691511;M: Gb 317:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Les elemens de l'histoire ou ce qu'il faut scaÃßvoir de chronologie, de geographie, de blazon, de l'histoire universelle, de l'eglise de l'ancien testament, des monarchies anciennes, de l'eglise du nouveau testament, & des monarchies nouvelles;1701;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Pierre;Le Lorrain de Vallemont;AbbÈ de Vallemont;Q2820886;male;115711759;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
19;18;I;(b), 2. rang in octav.;59;"Hist. universelle, chronologie geographie
geographie";11;3;Tablettes de tous les Ministres publies des Cours Souveraines de l'Europe. Amst. 1728.;;150849451;;1;150849451;M: Ff 142;;Historische Hilfswissenschaften - Genealogie;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Tablettes de tous les ministres public des cours souveraines de l'Europe avec leurs titres, noms, fonctions et adresses;1729;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;19;I;(b), 2. rang in octav.;60;"Hist. universelle, chronologie geographie
geographie";11;3;Interets et maximes des Princes et Etats Souverains. Col. 1683.;;535957661;;1;535957661;M: Lm 3077;M: Lm 3077;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aav;fre;Interests Et Maximes Des Princes & des …tats Souverains;1683;Cologne [fingiert];ohne Ort;;;;Henri de;Rohan;Henri II de Rohan;Q701048;male;119336839;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
21;20;I;(b), 2. rang in octav.;61-62;Allemagne;11;3;"Hist. des Celtes et particulierement des Gaulois et des Germains, par M. S. Pelloutier. Haie 1750. T. I. II.Hist. de l'Empereur
Charles VI. par M. L. D. Mont, Amst.
Hist. de l'Empereur Charles VI. par M. L. D. Mont, Amst. 1741. T. I. II.";;138682720;;2;183349695;M: Gk 1529, H: T 796a.8∞ Helmst.;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;"Exlibris mit l‰ngerem gedruckten Text: Ex bibliotheca Ioannis Gottlieb Laurentii ... Symbolum: Verum et pacem amate. Zachar. VIII, 19.; Notizen von der Hand des Laurentii (?) - Stempel: Ex Bibliotheca Academiae Ivliae Carolinae Helmstadii, Provenienz: Laurentii, Johann Gottlieb / Exlibris / Motto, Provenienz: Laurentii, Johann Gottlieb [?] / Notiz, Provenienz: Universit‰tsbibliothek <Helmstedt> / Stempel";;Acr;fre;Histoire Des Celtes, Et ParticuliÈrement Des Gaulois Et Des Germains, Depuis Les Tems fabuleux jusqu'‡ la Prise de Rome par les Gaulois;1750;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Simon;Pelloutier;Simon Pelloutier;Q1547857;male;117693405;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
22;21;I;(b), 2. rang in octav.;63-64;Allemagne;11;3;Hist. de l'Empereur Charles VI. par M. L. D. Mont, Amst. 1741. T. I. II.;;187288240;;2;187288453;M: Gl 3062:1;;Geschichte - Deutsche Geschichte: allgemein;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Histoire De L'Empereur Charles VI, Et Des Revolutions ArrivÈes dans l'Empire sous le RÈgne des Princes de l'Auguste Maison D'Autriche, depuis Rodolphe ComtÈ de Habsbourg jusqu'‡ prÈsent;1741;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Pierre;Massuet;Pierre Massuet;Q3386190;male;117557188;M‰nnlich;;;;;;;;;;;;;;;;;Karl;Heiliges Rˆmisches Reich, Kaiser;118560107;;;;;;;
23;22;I;(b), 2. rang in octav.;65;Allemagne;11;3;Memoires du gouvernement de l'Empire, par Mr D. B. Haie 1721. Qui d'Anne Stuard;voiÈs n. 107.;140473467;;1;140473467;M: Gl 3142;M: Gl 3142;Geschichte - Deutsche Geschichte: allgemein;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;MÈmoires Du Gouvernement De L'Empire;1741;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;23;I;(c), 3. rang, in quarto;66-76;Hist. universelle,;12;4;Histoire universelle de J. A. de Thou, contin. par N. Rigault, Basle 1742-52. T. I. II. III. IV. V. VI. VII. VIII. IX. X. XI.;;226996808;;11;226996883;M: Ge 4∞ 60:1;M: Ge 4∞ 60:1;Geschichte - Neuere Geschichte;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;Histoire Universelle;1742;Basel;Basel;4004617-5;Basel;tgn/7007269;Jacques Auguste;Thou;Jacques Auguste de Thou;Q1312086;male;118802143;M‰nnlich;;;;;;;;;Nicolas;Rigault;124394183;Unbekannt;;;;;;;;;;;;;;
25;24;I;(c), 3. rang, in quarto;77-90;Hist. universelle,;12;4;Hist. universelle, trad. de Anglois d'une SocietÈ des Gens de lettres. Amst. 1742. T. I. II. III. IV. V. VI. VII. VIII. I.X. X. XI. XII. XIII. XIV.;;139873260;;14;139873287;M: Gb 4∞ 13:1;M: Gb 4∞ 13:1;Geschichte - Universalgeschichte;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acvs;fre;Histoire Universelle, Depuis Le Commencement Du Monde, Jusqu'A Present;1742;A Amsterdam Et A Leipzig;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;Johann Caspar;ArkstÈe;140015450;M‰nnlich;Henricus;Merkus;M‰nnlich;140015590;;;;;;;;;;
26;25;I;(c), 3. rang, in quarto;90 b);Hist. universelle,;12;4;Introd. ‡ l'hist. de Danemarc p. M. Mallet.;;15139931X;erg‰nzt;1;15139931X;M: Gs 145;;Geschichte - Skandinavien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Introduction ‡ l'histoire de Dannemarc, ou l'on traite de la Religion, des Loix, des Moeurs & des Usages des Ancien Dannois;1755;Copenhague;Kopenhagen;4032399-7;K¯benhavn;tgn/7003474;Paul Henri;Mallet;Paul Henri Mallet;Q3436952;male;116695706;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
27;26;I;(c), 3. rang, in quarto;91-92;Hist. universelle,;12;4;Vignoles, Chronologie de l'Histoire Sainte et des Histoir etrangeres Berl. 1738. T. I. II.;Ist jezo in II. C. 78.;Dublette;gestrichen [voh. I C 78a] ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;27;I;(d) 4. rang, in quarto;91;Hist. universelle,;12;4;Histoire generale d'Espagne du P. Jean de Mariana. Par. 1725 T. I. II. III. IV. V.;;15071145X;erg‰nzt;1;33608515X;M: Gi 4∞ 33:1;M: Gi 4∞ 33:1;Geschichte - Spanien und Portugal;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;Histoire gÈnÈrale d'Espagne du Jean de Mariana;1725;Paris;Paris;4044660-8;Paris;tgn/7008038;Juan;Mariana;Juan de Mariana;Q939889;male;11878188X;M‰nnlich;;;;;;;;;Joseph-Nicolas;Charenton;102272115;Unbekannt;;;;;;;;;;;;;;
29;28;I;(d) 4. rang, in quarto;92;Hist. universelle,;12;4;Memoires histor. presentÈs en 1744 au Souverain Pontife Benoit XIV. par le P. Nobert, Besancon 1747. T. I. II. III.;;151104174;erg‰nzt;3;251200388;M: Tq 917;M: Tq 917;Staatswissenschaften - Orden, christliche Gruppen;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, roter Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;MÈmoires Historiques PrÈsentÈs En 1744 Au Souverain Pontife BÈnoit XIV. ...;1747;BesanÁon;BesanÁon;4005972-8;BesanÁon;tgn/7008356;Pierre-Curel;Parisot;Pierre Parisot;Q2093758;male;100228704;Unbekannt;;;;;;;;;;;;;;;;;Benedikt;Papst;118655434;;;;;;;
