ID - Katalog Ende 18. Jh.;Imagez‰hlung - Digitalisat Katalog Ende 18. Jh.;Katalogseitenz‰hlung - Katalog Ende 18. Jh.;Schrankposition - Katalog Ende 18. Jh.;Titelreihenfolge - Katalog Ende 18. Jh.;Katalogeintrag Katalog Ende 18. Jh.;PPN-Nummer Manifestationsebene;Edit. Anmerkungen ;Bandz‰hlung;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
11;9;7;I. Arm. 1. Rang in Folio;26;Les Trois premiers livres des histoires d' Herodote d' Halicarnashe trad. Par P. Sabiat · Paris 1551;191765600;;1;191765600;M: Lg 4∞ 86;M: Lg 4∞ 86;Literatur - Griechische Literatur;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Les trois premiers livres des histoires d`Herode de Halicarnasses ...;1551;Paris;Paris;4044660-8;Paris;tgn/7008038;Herodotus;;Herodotos;Q26825;male;118549855;M‰nnlich;;;;;;;;;Pierre;Saliat;1055583017;Unbekannt;;;;;;;;;;;;;
12;9;7;I Arm. 1. Rang in Folio;27;Recueil d' antiquitËs Egyptiennes Etrusques, Greeques et Romaines par le Comte de Laylus · Paris 1752.;151202478;;1;151202486;M: Ud 4∞ 33;;Kunst - Antike Kunst;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Recueil d'antiquitÈs Ègyptiennes, Ètrusques, grecques et romaines (T. 3 ff.: et gauloises);1752;Paris;Paris;4044660-8;Paris;tgn/7008038;Anne Claude Philippe;Caylus;Anne Claude de Caylus;Q2734012;male;100076262;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
13;10;8;I. Arm. 2. Rang in Oktavo;1;AbrËgË de l'histoire de ce ciÈcle de fer par N. Parivab ‡ Bruxelles 1658.;225517736;;1;225518058;M: Ge 546:1;;Geschichte - Neuere Geschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;AbregÈ De L'Histoire De ce Siecle de Fer;1655;A Bruxelles;Br¸ssel;4008460-7;Bruxelles;tgn/7007868;Jean Nicolas;Parival;Jean Nicolas de Parival;Q1609244;male;10023951X;Unbekannt;;;;;;;;;FranÁois;Vivien;1037550706;Unbekannt;;;;;;;;;;;;;
14;10;8;I. Arm. 2. Rang in Oktavo;02. Mrz;Introduction ‡ l'histoire des Maisons souverains de l'Europe par le P. Buffier T. I. 2.;138945896;;2;239336313;M: Ff 79:1;M: Ff 79:1;Historische Hilfswissenschaften - Genealogie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Montbail, Marthe Dumas ^de^;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Introduction ‡ l'histoire des maisons souveraines de l'Europe;1717;Paris;Paris;4044660-8;Paris;tgn/7008038;Claude;Buffier;Claude Buffier;Q722978;male;120570939;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
15;10;8;I. Arm. 2. Rang in Oktavo;4;TraitË  des  finances  et  de  la fausse monnaie des Romains;Titel nicht eindeutig identifizierbar;;1;;;;;;;;;;fre;;1740;Par.;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;10;8;I Arm. 2. Rang in Oktavo;05. Jun;L'esprit des nations · la Haye 1752. T. I. 2.;147756375;;1;147756383;M: Ga 95;M: Ga 95;Geschichte - Lexica, Methodisches, Geschichtsphilosophie;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas;;Provenienz: Dumas de Montbail <Familie>;Acu;fre;L'esprit des nations;1752;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;FranÁois Ignace;Espiard;FranÁois-Ignace d' Espiard;Q110137179;male;100972632;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
17;10;8;I. Arm. 2. Rang in Oktavo;07. Aug;Histoire du monde savÈe et profane par S. Schutzfort trad. par J.B. Bernard, ‡ Leide 1738 T. I.2;151489858;;2;151489866;M: Gv 523:1;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Raabe & Strutz, Lessings Bucherwerbungen, Nr. <815>, Lessing, Gotthold Ephraim;;Acr;fre;Histoire du monde sacrÈe et profane. Depuis la crÈation du monde jusqu'‡ la destruction de l'empire des Assyriens ‡ la mort de Sardanapale, et jusqu'‡ la dÈcadence des royaumes de Juda et d'IsraÎl sous les rÈgnes d'Achaz et de Pekach. Pour servir d'introd. ‡ L'Histoire des Juifs du Docteur Prideaux;1728;Leyde;Leiden;4074118-7;Leiden;tgn/7006809;Samuel;Shuckford;Samuel Shuckford;Q15990283;male;10040670X;Unbekannt;;;;;;;;;Jean Baptiste;Bernard;173419461;Unbekannt;;;;;;;;;;;;;
18;10;8;I. Arm. 2. Rang in Oktavo;Sep 16;Introduction ‡ l'histoire gÈnÈrale et politique de l'univers par M. de Pufendorff contin par M. Bruyen de la Martiniere · Amst. 1713 T1-8;139543325;;8;182474275;M: Gb 251:1;M: Gb 251:1;Geschichte - Universalgeschichte;Provenienzen bereits im OPAC nachgewiesen;;, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Philippine Charlotte <Braunschweig-L¸neburg, Herzogin>;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Einband / Monogramm;Acus;fre;Introduction ¿ L'Histoire GÈnÈrale Et Politique De L'Univers, O˘ l'on voit l'Origine, les RÈvolutions, l'…tat prÈsent & les IntÈrËts des Souverains;1743;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Samuel;Pufendorf;Samuel von Pufendorf;Q57186;male;118597051;M‰nnlich;;;;;;;;;Antoine Augustin;Bruzen de La MartiniËre;124841260;Unbekannt;;;;;;;;;;;;;
19;10;8;I. Arm. 2. Rang in Oktavo;17-20;Discours sur l'histoire universelle par J.J. Bossuet in Amsterdam 1738. T.I-4.;15314372X;;4;153144009;M: Gb 32:1;M: Gb 32:1;Geschichte - Universalgeschichte;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acu;fre;Discours Sur L'Histoire Universelle;1738;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Jacques BÈnigne;Bossuet;Jacques BÈnigne Bossuet;Q294100;male;118513915;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
20;10;8;I. Arm. 2. Rang in Oktavo;21-24;Les Souverains du monde · la Haye 1722. T.I-4;150846215;;4;150846223;M: Ff 135;M: Ff 135;Historische Hilfswissenschaften - Genealogie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acu;fre;Les Souverains Du Monde;1721;A La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Ferdinand Ludwig;Bressler und Aschenburg;Ferdinand Ludwig Von Bressler Und Aschenburg;Q56006874;male;11649218X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
21;10;8;I. Arm. 2. Rang in Oktavo;25-28;Histoire du XVI mË Sucle par M. Durand ‡ la Haye 1734 T I4.;180553526;;4;180553593;M: Ge 193:1;M: Ge 193:1;Geschichte - Neuere Geschichte;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Acu;fre;Histoire Du Seizieme SiÈcle;1734;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;David;Durand;David Durand;Q3017812;male;12353044X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
22;11;9;I. Arm. 2. Rang in Oktavo;29-34;Histoire profane par L.E. du Pin ‡ Anvers 1717 T I-6.;138471193;;6;180054317;M: Gb 87:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;L' Histoire Profane Depuis son commencement jusqu'‡ prÈsent;1717;A Anvers;Antwerpen;4002364-3;Antwerpen;tgn/7003456;Louis Ellies;Du Pin;Louis Ellies Dupin;Q3261837;male;100115993;Unbekannt;;;;;;;;;Jean FranÁois;Lucas;1037573420;Unbekannt;;;;;;;;;;;;;
23;11;9;I. Arm. 2. Rang in Oktavo;35-37;Les ÈlÈmens de l'histoire par de Vallemont ‡ Amsterd. 1701 T I3;236691449;;3;236691511;M: Gb 317:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Les elemens de l'histoire ou ce qu'il faut scaÃßvoir de chronologie, de geographie, de blazon, de l'histoire universelle, de l'eglise de l'ancien testament, des monarchies anciennes, de l'eglise du nouveau testament, & des monarchies nouvelles;1701;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Pierre;Le Lorrain de Vallemont;AbbÈ de Vallemont;Q2820886;male;115711759;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
24;11;9;I. Arm. 2. Rang in Oktavo;38-40;Histoire universelle trad. Du latin du P. Fursellin ‡ Amsterdam 1708. T. I-3;22610642X;;2;226106608;M: Gb 309:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Histoire Universelle;1708;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Orazio;Torsellini;Orazio Torsellino;Q1776231;male;100567894;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
25;11;9;I. Arm. 3. Rang in Quarto;01. Mai;Histoire des Empereurs par D. Tillemont ‡ Paris 1690 T. I-5;151821852;;5;151821860;M: Gg 4∞ 47;M: Gg 4∞ 47;Geschichte - Rˆmische Geschichte;Exemplar vorhanden;Provenienz Sophie Dorothea: Supralibros Monogramm SD, Z‰hlung schwarz 21, Signatur Praun'scher Katalog;;Provenienz: Sophie Dorothea <Preuﬂen, Kˆnigin>;Acr;fre;Histoire des empereurs et des autres princes qui ont regnÈ durant les six premiers siÈcles de l'…glise ...;1690;Paris;Paris;4044660-8;Paris;tgn/7008038;SÈbastien;Le Nain de Tillemont;Louis-SÈbastien Le Nain de Tillemont;Q1361139;male;128681667;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
26;11;9;I. Arm. 3. Rang in Quarto;Jun 16;Histoire universelle de J.A. de Thou contin par N. Rigautt ‡ Basle 1742 T. I-II.;226996808;;11;226996883;M: Ge 4∞ 60:1;M: Ge 4∞ 60:1;Geschichte - Neuere Geschichte;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;Histoire Universelle;1742;Basel;Basel;4004617-5;Basel;tgn/7007269;Jacques Auguste;Thou;Jacques Auguste de Thou;Q1312086;male;118802143;M‰nnlich;;;;;;;;;Nicolas;Rigault;124394183;Unbekannt;;;;;;;;;;;;;
27;11;9;I. Arm. 3. Rang in Quarto;17-30;Histoire universelle trad. De l'Angelois d'une sociÈttÈ des gens de lettres ‡ Amst. 1742 T. I-14;139873260;;14;139873287;M: Gb 4∞ 13:1;M: Gb 4∞ 13:1;Geschichte - Universalgeschichte;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acvs;fre;Histoire Universelle, Depuis Le Commencement Du Monde, Jusqu'A Present;1742;A Amsterdam Et A Leipzig;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;Johann Caspar;ArkstÈe;140015450;M‰nnlich;Henricus;Merkus;M‰nnlich;140015590;;;;;;;;;
28;11;9;I. Arm. 4. Rang in Quarto;31;Histoire de Constantin le Grand par B. de Varenne ‡ Paris 1728.;151808503;;1;151808503;M: Gf 4∞  49;M: Gf 4∞ 49;Geschichte - Griechische und byzantinische Geschichte;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Katalog 2, rot I. 4;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aar;fre;Histoire de Constantin le Grand, premier empereur chrÈtien;1728;Paris;Paris;4044660-8;Paris;tgn/7008038;Bernard;Varenne;Varenne, Bernard;;male;1055600396;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
29;11;9;I. Arm. 4. Rang in Quarto;32-45;Memoires pour servir ‡ l'histoire du XVII me siÈcle par M. de Lamberty ‡ la Haye 1724 T. I-14.;240180747;;14;24018145X;M: Ge 418:1, Schulenb. Gc 2∞ 84;;Geschichte - Neuere Geschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;MÈmoires pour servir ‡ l'histoire du XVIII siÈcle;1724;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Guillaume;Lamberty;Lamberty, Guillaume;;male;1157538665;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
30;12;10;I Arm. 2. Rang in Oktavo;46;Description de tout l'univers par M. Sanson pËre et fils ‡ Amsterdam 1700.;215851366;;1;215851366;M: Ca 269;M: Ca 269;Geographie - Handb¸cher etc.;Exemplar vorhanden;Provenienz Sophie Dorothea: Supralibros Monogramm SD, schwarze Z‰hlung 22,  Signatur Praun'scher Katalog;;Provenienz: Sophie Dorothea <Preuﬂen, Kˆnigin>;Aar;fre;Description de tout l'univers en plusieurs cartes & en divers traitez de gÈographie et d'histoire;1700;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Nicolas;Sanson;Nicolas Sanson;Q502162;male;12360978X;M‰nnlich;Guillaume;Sanson;129000884;Unbekannt;;;;;;;;;;;;;;;;;;;;;
31;12;10;I Arm. 2. Rang in Oktavo;47;J. de Strada trÈsor des anti quitÈs ou portraits des Empereurs en medailles ‡ Lion 1653.;151830487;;1;151830487;M: Fg 311, A: 38.15 Hist.;;Historische Hilfswissenschaften - Numismatik;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Epitome Dv Thresor Des Antiqvitez, C'est ‡ dire, Pourtraits des vrayes Medailles des Empp. tant d'Orient que d'Occident;1553;Lyon;Lyon;4036770-8;Lyon;tgn/8728756;Jacobus;Strada;Jacopo Strada;Q574388;male;118834320;M‰nnlich;;;;;;;;;Jean;Louveau;1055350403;Unbekannt;Johann Jakob;Fugger;M‰nnlich;118703501;;;;;;;;;
32;12;10;I. Arm. 2. Rang in Oktavo;48;Histoire Romaine par le P. Coeffeteau ‡ Paris 1632.;150208685;;1;150208685;M: Gg 310;M: Gg 310;Geschichte - Rˆmische Geschichte;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Marte Du Mas de Montbail, ausradierte Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Histoire romaine, contenant tout ce qui s'est passÈ ... depuis le commencement de l'empire d'Auguste jusques ‡ celuy de Constantin le Grand;1632;Paris;Paris;4044660-8;Paris;tgn/7008038;Nicolas;CoÎffeteau;Nicolas Coeffeteau;Q942866;male;115660372;Unbekannt;;;;;;;;;N. E.;Dardanie;105556618X;Unbekannt;;;;;;;;;;;;;
