id;pageCat;imageCat;numberCat;itemInVolume;titleCat;titleBib;titleNormalized;author1;author2;author3;author4;contributor1;contributor2;contributor3;contributor4;place1;place2;publishers;year;format;histSubject;subjects;genres;mediaType;languages;systemManifestation;idManifestation;institutionOriginal;shelfmarkOriginal;provenanceAttribute;digitalCopyOriginal;targetOPAC;searchID;titleWork;systemWork;idWork;bound;comment;digitalCopy;copiesHAB
702;78;100;50 b);;Relations sur l'institution des filles de l'Enfance de jesus, par une des filles des cette congregation à Toulouse 1689 ;Relation de l'Etablissement de l'Institut des Filles de l'enfance de Jesus;;;;;;;;;;Toulouse#getty7008441;;;1689;4°;Arm. VI, (b) 2. rang, in quart.;Staatswissenschaften ; Sammelbände;Druck;fre;GBV;151165629;Herzog August Bibliothek Wolfenbüttel;M: Ts 244 ;;;;;;;;;ergänzt;;M: Ts 244 (1)
705;78;100;50 e);;Les misteres les plus Secrets des Jesuittes Col. 1727. ;Les Mystéres les plus secrets des jésuites, contenues en diverses piéces originales.;;;;;;;;;;Köln#getty1003171;;;1727;4°;Arm. VI, (b) 2. rang, in quart.;Staatswissenschaften ; Orden, christliche Gruppen;Druck;fre;GBV;150396783;;;;;;;;;;;ergänzt;;M: Tq 849
1257;135;167;n.n.;;Mercure hollandois, Amst. 1672. -77. VI. vol. ;Le Mercure hollandois;;;;;;;;;;Amsterdam#getty7006952;;;1673;8°;Arm. X, (d) 4. rang, in octav.;Geschichte ; Historische Zeitschriften;Druck;fre;GBV;130032050;;;;;;;;;;;ergänzt;;M: Gba 42
1258;135;167;n.n.;;Mercure galant. Par. IV. cinqe, le vol. ;Le mercure galant;;;;;;;;;;Paris#getty7008038;;;1672;8°;Arm. X, (d) 4. rang, in octav.;Literatur ; Französische Literatur;Druck;fre;GBV;166227269;;;;;;;;;;;ergänzt ;;M: Lm 4185, M: Lm 4185a, M: Lm 4186
893;97;123;n.n.;;Abregé de l'hist. de Brandebourg, par A. Teissier, Berl. 1701. ;;;;;;;;;;;;;;;8°;Arm. VII, (f) 6. rang, in Octav;;;Druck;fre;;;;;;;;;;;;;ergänzt und gestrichen [vorh. I e 128} - Dublette;;
499;55;69;196;;Hist. de la vie du Mal de Turenne. Villefr. 1676. ;Histoire de la vie de Monsieur le maréchal de Turenne et reflexions sur quelques affairs du temps;;;;;;Henri de La Tour D'Auvergne Turenne#118802968;;;;Villefranche#getty7601391;;;1676;8°;Arm. IV, (f) 6. rang, in Octav.;Quodlibetica Nova;;Druck;fre;GBV;193284243;;;;;;;;;;;gestrichen;;M: QuN 1043 (1)
1193;126;156;86;;Le roial jeu de l'hombre, du piquet, des Eschets, Berl. 1715. ;Le royal Jeu de l'ombre et du piquet;;;;;;;;;;Berlin#getty7003712;;;1715;8°;Arm. IX, (c) 3. rang in Octav.;Kulturgeschichte ; Spiele, Feste, Reit- und Fechtkunst;Druck;fre;GBV;15168586X;Herzog August Bibliothek Wolfenbüttel;M: Hn 123;;;;;;;;;gestrichen;;M: Hn 123
1259;135;167;n.n.;;Histoire des ouvrages des Savans, par Mr B. 1687-1704. Tom. 24. ;Histoire des ouvrages des savans;;;;;;;;;;Rotterdam#getty7268776;;;1687;8°;Arm. X, (d) 4. rang, in octav.;Wissenschaftskunde ; Geschichte der Wissenschaften;Druck;fre;GBV;167248383;;;;;;;;;;;gestrichen;;M: Ea 320
27;4;12;91-92;;Vignoles, Chronologie de l'Histoire Sainte et des Histoir etrangeres Berl. 1738. T. I. II. Ist jezo in II. C. 78.;;;;;;;;;;;;;;;4°;Arm. I, (c), 3. rang, in quarto;;;Druck;;GBV;;;;;;;;;;;;gestrichen [voh. I C 78a] - Dublette;;
368;41;53;n.n.;;Memoires du C.al de Retz. Amst. 1719. T. I. II. III. IV. ;;;;;;;;;;;;;;;8°;Arm. III, (g) 7. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh. III g 208-211] - Dublette;;
330;37;49;139-142;;Hist. de France, sous les an regnes de S. Louis de Philippe de Valois de Jean de Charles V. et de Charles VI.. par l'Abbé de Choisi. Par. 1750 T. I. II. III. IV. ;;;;;;;;;;;;;;;8°;Arm. III, (e) 5. rang, in octav.;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh. IV f 159-162] - Dublette;;
482;54;68;n.n.                ;;Lettres pour servir de reponse à 2 escrits contre droits de la Reine sur le Brabant. Liege 1668. ;;;;;;;;;;;;;;;8°;Arm. IV, (f) 6. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh. IV f 204] - Dublette;;
833;91;117;89-92;;Oeuvres diverses de Mr de la Fontaine, Haie 1729. T. I. II. III. IV. ;;;;;;;;;;;;;;;8°;Arm. VII, (c) 3. rang, in oktav;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh. VII f 199-202] - Dublette;;
1260;135;167;n.n.;;Bibliotheque raison?és des ouvrages des Savans. Amst. 1728-52. Tom. 48. (? T. VIII. P.1.) in. 61. vol. ;;;;;;;;;;;;;;;8°;Arm. X, (d) 4. rang, in octav.;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh. XI b [130-189]] - Dublette;;
832;91;117;84-88;;Oeuvres de M. de S. Evremond. Amst. 1726. T. I. II. III. IV. V. kom?t in n. XI;;;;;;;;;;;;;;;8°;Arm. VII, (c) 3. rang, in oktav;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh. XI b [65-69]] - Dublette;;
1261;135;167;n.n.;;Bibliotheque Germanique. Amst. 1720 41. Tom. 50. in 40. vol. ;;;;;;;;;;;;;;;8°;Arm. X, (d) 4. rang, in octav.;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh. XI b [70-129]] - Dublette;;
834;91;117;89-95;;Le Spectateur, ou le Socrate moderne, Amst. 1732. T I. II. II. IV. V. VI. VII. ;;;;;;;;;;;;;;;8°;Arm. VII, (c) 3. rang, in oktav;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh. XI b 58-64] - Dublette;;
824;91;117;68-69;;Dictionaire de la langue Francise et allemane, par P. Richelet Amst. 1732. T. I. II. Reset jezo,o. VI. n. 59. 60.;;;;;;;;;;;;;;;4°;Arm. VII, (c) 3. rang, in Quarto;;;Druck;fre;;;;;;;;;;;;;gestrichen [vorh.VI 59-60] - Dublette;;
504;56;70;202;;Etat de la France, Col. 1671. ;De l'État de la France.;;;;;;;;;;Köln#getty1003171;;;1671;8°;Arm. IV, (f) 6. rang, in Octav.;Geschichte ; Frankreich;Druck;fre;GBV;149950012;Herzog August Bibliothek Wolfenbüttel;M: Gk 2174 ;;;;;;;;;Sammelband;;M: Gk 2174 (1)
505;56;70;202;;;Mauvaise Foy ou violences de la France;;;;;;;;;;Villefranche#getty7601391;;;1675;8°;Arm. IV, (f) 6. rang, in Octav.;Geschichte ; Frankreich;Druck;fre;GBV;151718423;Herzog August Bibliothek Wolfenbüttel;M: Gk 2174 ;;;;;;;;;Sammelband;;M: Gk 2174 (2)
506;56;70;202;;;La France intriguante;;;;;;;;;;Villefranche#getty7601391;;;1677;8°;Arm. IV, (f) 6. rang, in Octav.;Geschichte ; Frankreich;Druck;fre;GBV;151455791;Herzog August Bibliothek Wolfenbüttel;M: Gk 2174 (3);;;;;;;;;Sammelband;;M: Gk 2174 (3)
508;56;70;202;;;Les avantures de Louis Marot;;;;;;Louis Marot#1055328025;;;;Paris#getty7008038;;;1675;8°;Arm. IV, (f) 6. rang, in Octav.;Geschichte ; Frankreich;Druck;fre;GBV;15149763X;Herzog August Bibliothek Wolfenbüttel;M: Gk 2174 (5);;;;;;;;;Sammelband;;M: Gk 2174 (5)
189;22;32;115;;La Monarchie des Solipses trad. du latin de Melch. Inchofer de la Compagnie de Jesus, avec des remarques. Amst. 1724. ;;;;;;;;;;;Amsterdam#getty7006952;;;1724;8°;Arm. II, (e) 5. rang in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
300;34;46;100;;J. Nau, abregé des ordon?ances Roiaux. Par. 1664. ;;;;;;;;;;;Paris#getty7008038;;;1664;4°;Arm. III, (d) 4. rang, in quarto;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
303;34;46;103;;La doctrine des arrets, par M. Jouet avocat en Parlement Par. 1663. ;;;;;;;;;;;Paris#getty7008038;;;1663;4°;Arm. III, (d) 4. rang, in quarto;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
323;36;48;129;;Vie du veritable P. Joseph Capucin, conten. l'hist. anecdote du C.al de Richelieu. Haie 1701. ;;;;;;;;;;;Den Haag#getty7006810;;;1701;8°;Arm. III, (e) 5. rang, in octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
384;43;57;10;;Hist. de la vie du Connetable de Lesdiguieres, par L. Videl. Par. 1738. ;;;;;;;;;;;Paris#getty7008038;;;1738;2°;Arm. IV, (a) 1. rang, in folio;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
426;47;61;83;;Mem. Instructions pour les Ambassadeurs, ou lettres et negociations de Walsingham Ministre et Secret. d'Etat sous Elisabeth. R. d'Angleterre, Amst. 1720. ;;;;;;;;;;;Amsterdam#getty7006952;;;1720;8°;Arm. IV, (c) 3. rang, in Quart.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
472;52;66;152;;Descr conten. les antiquités fondations et singularités des plus celebres villes de France, Constanc. 1607. ;;;;;;;;;;;Konstanz#getty7005174;;;1706;8°;Arm. IV, (e) 5. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
509;56;70;203;;La conduite de la France, depuis la paix de Nimeque. Col. 1674. ;;;;;;;;;;;Köln#getty1003171;;;1674;8°;Arm. IV, (f) 6. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
514;56;70;208;;Mem. du Mis de Montbrun Par. 1698. ;;;;;;;;;;;Paris#getty7008038;;;1698;8°;Arm. IV, (f) 6. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
631;70;88;165-166;;Voiage de Syrie et du Mont Liban, par M. de la Roque, Utr. 1723. T. I. ;;;;;;;;;;;Utrecht#getty7003627;;;1723;8°;Arm. V, (e) 5. rang, in octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1097;116;144;239;;La Medecine et la Chirurgie, des pauvres. Par. 1733. ;;;;;;;;;;;Paris#getty7008038;;;1733;8°;Arm. VIII, (g) 7. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1117;117;145;261;;Disc. politiq, et milit. du Sr de la Noue. 1641. ;;;;;;;;;;;;;;1641;8°;Arm. VIII, (g) 7. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1214;127;157;111-112;;Parrhasiana. Amst. 1717. T. I. II. ;;;;;;;;;;;Amsterdam#getty7006952;;;1717;8°;Arm. IX, (d) 4. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1230;129;159;161;;it. Amst. 1716. T. II. ;;;;;;;;;;;Amsterdam#getty7006952;;;1716;8°;Arm. IX, (e) 5. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1278;229;261;[5];;Les 2. Nieces, Comedies de M. de Boissy. Par. 1737. ;;;;;;;;;;;Paris#getty7008038;;;1737;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1302;231;263;[9-14];;Le Doien de Killerine, Par. 1739. T. I. II. III. IV. V. VI. ;;;;;;;;;;;Paris#getty7008038;;;1739;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1303;231;263;[15-19];;Le paisan parven, par Marivaux, Par. 1735. T. I. II. III. IV. V. ;;;;;;;;;;;Paris#getty7008038;;;1735;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1318;232;264;[35];;Nouv. contes des Feés. Par. 1735. x;;;;;;;;;;;Paris#getty7008038;;;1735;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1323;233;265;[46];;Avantures choisies. Par. 1714. x;;;;;;;;;;;Paris#getty7008038;;;1714;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1325;233;265;[48] ;;Amours de Psiché et de Cupidon, par M. de la Fontaine, Par. 1701. x;;;;;;;;;;;Paris#getty7008038;;;1701;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1333;234;266;[66];;Recueil de vers mis en chant. Par. 1668. x;;;;;;;;;;;Paris#getty7008038;;;1668;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1337;234;266;[70];;Poemes du Sr de Lortigue Provençal, Par. 1617. x;;;;;;;;;;;Paris#getty7008038;;;1617;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1344;234;266;[83];;Avantures d'Abdalla. x;;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1345;234;266;[84-85];;Nouv. amusemens serieux et comiques. Par. 1735. T. I. II. x;;;;;;;;;;;Paris#getty7008038;;;1735;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1373;237;269;[121];;Les Ames rivales. Londr. 1738. x;;;;;;;;;;;London#getty7011781;;;1738;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1375;237;269;[123];;Le voiageur fortuné dans les Indes du Couchant. x;;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1378;237;269;[126];;L'innocente justifieé, hist. de Grenade, par Mlle de Roche-Guilhen. 1706. x;;;;;;;;;;;;;;1706;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1386;238;270;[134];;Amours d'Antiochus Pce de Syrie et de la R. Stratonique, par M. le Fevre, Par. 1716. x;;;;;;;;;;;Paris#getty7008038;;;1716;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1400;239;271;[150];;Rec. de Chansons. Lion 1561. ;;;;;;;;;;;Lyon#getty8728756;;;1561;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1412;240;272;[162];;Regles du jeu genealogique des Rois de France, Par. 1716. x;;;;;;;;;;;Paris#getty7008038;;;1716;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1420;240;272;[170];;Avantures du Mont Griffon. 1718 x;;;;;;;;;;;;;;1718;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
1425;241;273;[175];;Regles du jeu de Reversi. Lux. 1732. ;;;;;;;;;;;Luxemburg#getty7003514;;;1732;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel im GVK nicht vorhanden;;
402;45;59;36-37;;Comentaires de Blaise de Montluc, Mal de France, Par. 1661. T. I. II. ;;;;;;;;;;;Paris#getty7008038;;;1661;8°;Arm. IV, b) 2. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
544;61;79;27;;Defense des hauts alliés et du dernier ministere de la gr. Bretagne, contre la France. ;;;;;;;;;;;;;;;8°;Arm. V, (b) 2. rang in octav.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
583;65;83;87 c);;Compendio di vita d'Arrigo IV. Re di Francia, p Arrigo D. de B. L Ms. ;;;;;;;;;;;;;;;8°;Arm. V, (c) 3. rang in quart.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
658;73;91;218;;Tr. des Finances et de la fausse monoie des Romains. à Par. 1740. ;;;;;;;;;;;Paris#getty7008038;;;1740;8°;Arm. V, (g) 7. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
708;78;100;57-58;;Nouv. dictionaire françois-allemand, par P. Rondeau. T. I. II. ;;;;;;;;;;;;;;;4°;Arm. VI, (c) 3. rang, in quarto;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
712;79;101;60 c);;Le renouvellement de l'Academie des Sciences. ;;;;;;;;;;;;;;;4°;Arm. VI, (c) 3. rang, in quarto;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
826;91;117;68-78 g);;Oeuvres de Mr de Voltaire, 1757. T. I. II. III. IV. V. VI. VII. VIII. IX.-XVII. ;;;;;;;;;;;;;;1757;8°;Arm. VII, (c) 3. rang, in oktav;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1068;113;141;180;;Lettres de M. Boursault. Par. 1698. ;;;;;;;;;;;Paris#getty7008038;;;1698;8°;Arm. VIII, (e) 5. rang, in Oct.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1085;115;143;219;;Tr. sur la maniere d'ecrire des lettres, par M. de Grimaret. 1709. ;;;;;;;;;;;;;;1709;8°;Arm. VIII, (f) 6. rang, in Oct.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1150;122;152;40;;Le vrai Cuisinier françois, le Maitre d'hotel, par le Sr de la Varenne, Amst. ;;;;;;;;;;;Amsterdam#getty7006952;;;;8°;Arm. IX, (b) 2. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1181;125;155;72;;Synonymes françois leurs significations differentes et le choix qu' il en faut faire, par l'Abbé Girard, et Tr. de la Prosodie, par l'Abbé d'Olivet. Amst. ;;;;;;;;;;;Amsterdam#getty7006952;;;;8°;Arm. IX, (c) 3. rang in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1186;125;155;80;;Factum de M. Ant. Furetiere, contre quelques uns de l'Academie françoise. ;;;;;;;;;;;;;;;8°;Arm. IX, (c) 3. rang in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1236;130;160;172;;Hist. de l'Academie francoise par M. Pelisson. ;;;;;;;;;;;;;;;8°;Arm. IX, (f) 6. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1276;229;261;[3];;Thetis et Pelée, traged. Par. 4° ;;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1290;230;262;[31-32];;it. nouvelles avantures, 1707. T. I. II. x;;;;;;;;;;;;;;1707;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1295;230;262;[37-38];;"Recueil des Opera, des balets. Par. T. II. III. """;Recueil des opéra, des ballets, et des plus belles piéces en musique, qui ont été représentées devant sa Majesté Tres-Chrétienne;;;;;;;;;;Amsterdam#getty7006952;;;1690;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1300;231;263;[3-7];;L'Astrée d'Urfé, Par. T. I. II. III. IV. V. x;;;;;;;;;;;Paris#getty7008038;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1305;231;263;[21];;"Der Eulenspiegel; ";;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;de;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1309;231;263;[25];;Recueil de nouv. chansons et vaudevilles. Par. x;;;;;;;;;;;Paris#getty7008038;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1319;232;264;[36-37];;Hist. du vaillant Cheval. Tiran-le Blanc. Londr. T. I. II. x;;;;;;;;;;;London#getty7011781;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1339;234;266;[76];;Mem. d'un honnete hom?e, Amst. 1745. x;;;;;;;;;;;Amsterdam#getty7006952;;;1745;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1368;236;268;[116];;Les oracles divertissan. Amst. ;;;;;;;;;;;Amsterdam#getty7006952;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1405;239;271;[155];;Mercure galant, ou la Comedie sans titre, par M. Poisson, Brus. ;;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1407;239;271;[157];;Livre sans nom. 1695. x;;;;;;;;;;;;;;1695;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1413;240;272;[163];;Lettres de Ninon de l'Enclos au Mis de Sevigné. Haie 1750. ;;;;;;;;;;;Den Haag#getty7006810;;;1750;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1426;331;363;1;;Ninette à la cour parodie de Bertholde à la ville comedie in deux actis par Mr. Favart. ;;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1427;331;363;2;;On ne s'avise jamais de tout Opera Bouffon en un acte, mis en musique par Monsieur xxx ;;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1428;331;363;3;;Le devin du village interméde répresénte a Fontainebleau devant leurs Majestés des 18 et 24 Octobre 1752 et a. par. J. J. Rousseau ;;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1429;331;363;4;;Le soldat magicien Opera comique in un acte mis en musique par A. D. Philidor ;;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1430;331;363;5;;Annette et Lubin, comédie en un acte en vers, par Me Favrat meleé d'Ariettes et Vaudevilles dont les accompagnements sont de Mr Blaise ;;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1431;331;363;6;;La servante Maitresse comédie en deux actis et a. ;;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1432;332;364;7;;Le Maréchal ferrant Opera comique en deux actes &ca mis in musique par A. D. Philidor ;;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1433;332;364;8;;Sancho Pança, Gouverneur dans l'île de Barataria, Opera bouffon, &ca mis en musique par M. A. D. Philidor ;;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
1434;332;364;9;;"L'Amitié à l'épreuve, comedie en deux actis mêleé d'Ariettes représentée devant, Sa Majesté à Fontainebleau, le 13 Novembre 1770 et à Paris de 17 Janvier 1771 dédicée à Madame la Dauphine par M. Gretr;y ";;;;;;;;;;;;;;;;Arm. Operetten, ;;;Druck;fre;;;;;;;;;;;;;Titel nicht eindeutig identifizierbar;;
