ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;ID - Katalog Ende 18. Jh.;Imagez‰hlung - Digitalisat Katalog Ende 18. Jh.;Katalogseitenz‰hlung - Katalog Ende 18. Jh.;Schrankposition - Katalog Ende 18. Jh.;Titelreihenfolge - Katalog Ende 18. Jh.;Katalogeintrag Katalog Ende 18. Jh.;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
11;10;I;(b), 2. rang in octav.;37;"Hist. universelle, chronologie geographie
geographie";10;2;Introduction ‡ la geographie universelle, trad. du Latin de Th. Cl?ver, Rouen 1649.;;350;58;56;IV. Arm. 2. Rang in Oktavo;16;Introduction ‡ la gÈographie universelle. Trad. Du latin de Ph. Cl¸ver ‡ Rouen 1649.;21277610X;;1;21277610X;M: Ca 176;M: Ca 176;Geographie - Handb¸cher etc.;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Introduction a la geographie universelle, tant nouvelle, qu'ancienne;1649;Rouen;Rouen;4050751-8;Rouen;tgn/7008929;Philipp;Cl¸ver;Philipp Cl¸ver;Q63419;male;119150867;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
12;11;I;(b), 2. rang in octav.;38-41;"Hist. universelle, chronologie geographie
geographie";10;2;Methode pour etudier la Geographie. Amst. 1718. T. I. II. III. IV. V. VI.;;353;58;56;IV. Arm. 2. Rang in Oktavo;19-22;MÈthode pour Ètudier la gÈographie ‡ Amst. 1718 T. I-4.;137905068;;4;216399254;M: Ca 193:1;;Geographie - Handb¸cher etc.;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;MÈthode pour Ètudier la GÈographie;1718;A Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Nicolas;Lenglet Du Fresnoy;Nicolas Lenglet du Fresnoy;Q1986633;male;118907026;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
13;12;I;(b), 2. rang in octav.;42-47;"Hist. universelle, chronologie geographie
geographie";10;2;Histoire profane, par L. E. Du Pin, Anvers 1717. T. I. II. III. IV. V. VI.;;22;11;9;I. Arm. 2. Rang in Oktavo;29-34;Histoire profane par L.E. du Pin ‡ Anvers 1717 T I-6.;138471193;;6;180054317;M: Gb 87:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;L' Histoire Profane Depuis son commencement jusqu'‡ prÈsent;1717;A Anvers;Antwerpen;4002364-3;Antwerpen;tgn/7003456;Louis Ellies;Du Pin;Louis Ellies Dupin;Q3261837;male;100115993;Unbekannt;;;;;;;;;Jean FranÁois;Lucas;1037573420;Unbekannt;;;;;;;;;;;;;;
14;13;I;(b), 2. rang in octav.;48-49;"Hist. universelle, chronologie geographie
geographie";10;2;Hist. universelle trad. du Latin du P. Tursellin, Amst. 1708. T. I. II.;;24;11;9;I. Arm. 2. Rang in Oktavo;38-40;Histoire universelle trad. Du latin du P. Fursellin ‡ Amsterdam 1708. T. I-3;22610642X;;2;226106608;M: Gb 309:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Histoire Universelle;1708;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Orazio;Torsellini;Orazio Torsellino;Q1776231;male;100567894;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
15;14;I;(b), 2. rang in octav.;50;"Hist. universelle, chronologie geographie
geographie";11;3;Hist. chronologique des Papes des Empereurs et des Rois, Par. 1711.;;355;58;56;IV. Arm. 2. Rang in Oktavo;24;Histoire chronologique des Papes des Empereurs et des Rois ‡ Paris 1711.;150078102;;1;150078102;M: Fd 139a, M: Fd 139b, Schulenb. F 42;M: Fd 139b;Historische Hilfswissenschaften - Chronologie;Provenienzen bereits im OPAC nachgewiesen;;Exlibris: Ex Bibliotheca LR Ducis Brunsvicensis Et Luneburgensis, Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Ludwig Rudolf <Braunschweig-Wolfenb¸ttel, Herzog> / Exlibris / Monogramm, Provenienz: Ludwig Rudolf <Braunschweig-Wolfenb¸ttel, Herzog> / Nummer, Ludwig Rudolf <Braunschweig-L¸neburg, Herzog>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;Histoire Chronologique Des Papes, Des Empereurs Et Des Rois, Qui ont regnÈ en Europe depuis la Naissance de Jesus-Christ jusqu'‡ present;1714;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;15;I;(b), 2. rang in octav.;51;"Hist. universelle, chronologie geographie
geographie";11;3;Hist. des IV. Empires Souverains, par J. Sleidan. 1658.;;35;13;11;I. Arm. 5. Rang in Oktavo;1;Histoire   des   quatre   Empires souverains par J. Steidan 1658.;233644237;;1;233644237;M: Ga 309;M: Ga 309;Geschichte - Lexica, Methodisches, Geschichtsphilosophie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Histoire des qvatre empires sovverains ...;1558;GenÈve;Genf;4020137-5;GenËve;tgn/7003746;Johannes;Sleidanus;Johannes Sleidanus;Q70310;male;118748440;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
17;16;I;(b), 2. rang in octav.;52-55;"Hist. universelle, chronologie geographie
geographie";11;3;Les Souverains du monde, Haie 1722. T. I. II. III. IV.;;20;10;8;I. Arm. 2. Rang in Oktavo;21-24;Les Souverains du monde · la Haye 1722. T.I-4;150846215;;4;150846223;M: Ff 135;M: Ff 135;Historische Hilfswissenschaften - Genealogie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acu;fre;Les Souverains Du Monde;1721;A La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Ferdinand Ludwig;Bressler und Aschenburg;Ferdinand Ludwig Von Bressler Und Aschenburg;Q56006874;male;11649218X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
18;17;I;(b), 2. rang in octav.;56-58;"Hist. universelle, chronologie geographie
geographie";11;3;Les Elemens de l'hist. par P. L. L. de Vallemont, Amst. 1701. T. I. II. III.;;23;11;9;I. Arm. 2. Rang in Oktavo;35-37;Les ÈlÈmens de l'histoire par de Vallemont ‡ Amsterd. 1701 T I3;236691449;;3;236691511;M: Gb 317:1;;Geschichte - Universalgeschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Les elemens de l'histoire ou ce qu'il faut scaÃßvoir de chronologie, de geographie, de blazon, de l'histoire universelle, de l'eglise de l'ancien testament, des monarchies anciennes, de l'eglise du nouveau testament, & des monarchies nouvelles;1701;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Pierre;Le Lorrain de Vallemont;AbbÈ de Vallemont;Q2820886;male;115711759;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
19;18;I;(b), 2. rang in octav.;59;"Hist. universelle, chronologie geographie
geographie";11;3;Tablettes de tous les Ministres publies des Cours Souveraines de l'Europe. Amst. 1728.;;;;;;;;150849451;;1;150849451;M: Ff 142;;Historische Hilfswissenschaften - Genealogie;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Tablettes de tous les ministres public des cours souveraines de l'Europe avec leurs titres, noms, fonctions et adresses;1729;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;19;I;(b), 2. rang in octav.;60;"Hist. universelle, chronologie geographie
geographie";11;3;Interets et maximes des Princes et Etats Souverains. Col. 1683.;;976;150;148;VIII. Arm. 1. Rang in Oktavo;23;IntÈrÍts et maximes des princes et des Ètats souverains ‡ Cologne 1683.;535957661;;1;535957661;M: Lm 3077;M: Lm 3077;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aav;fre;Interests Et Maximes Des Princes & des …tats Souverains;1683;Cologne [fingiert];ohne Ort;;;;Henri de;Rohan;Henri II de Rohan;Q701048;male;119336839;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
21;20;I;(b), 2. rang in octav.;61-62;Allemagne;11;3;"Hist. des Celtes et particulierement des Gaulois et des Germains, par M. S. Pelloutier. Haie 1750. T. I. II.Hist. de l'Empereur
Charles VI. par M. L. D. Mont, Amst.
Hist. de l'Empereur Charles VI. par M. L. D. Mont, Amst. 1741. T. I. II.";;128;26;24;II. Arm. 4. Rang in Oktavo;19-20;Histoire des Celtes it par ticuliËrement des Gaulois et des Germains par M. S. Pelloutier ‡ la Haye 1750 T. I, 2.;138682720;;2;183349695;M: Gk 1529, H: T 796a.8∞ Helmst.;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;"Exlibris mit l‰ngerem gedruckten Text: Ex bibliotheca Ioannis Gottlieb Laurentii ... Symbolum: Verum et pacem amate. Zachar. VIII, 19.; Notizen von der Hand des Laurentii (?) - Stempel: Ex Bibliotheca Academiae Ivliae Carolinae Helmstadii, Provenienz: Laurentii, Johann Gottlieb / Exlibris / Motto, Provenienz: Laurentii, Johann Gottlieb [?] / Notiz, Provenienz: Universit‰tsbibliothek <Helmstedt> / Stempel";;Acr;fre;Histoire Des Celtes, Et ParticuliÈrement Des Gaulois Et Des Germains, Depuis Les Tems fabuleux jusqu'‡ la Prise de Rome par les Gaulois;1750;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Simon;Pelloutier;Simon Pelloutier;Q1547857;male;117693405;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
22;21;I;(b), 2. rang in octav.;63-64;Allemagne;11;3;Hist. de l'Empereur Charles VI. par M. L. D. Mont, Amst. 1741. T. I. II.;;124;26;24;II. Arm. 4. Rang in Oktavo;13-14;Histoire de l' Empereur Charles VI par M. L. D. Mont ‡ Amsterdam 1741 T. I, 2.;187288240;;2;187288453;M: Gl 3062:1;;Geschichte - Deutsche Geschichte: allgemein;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Histoire De L'Empereur Charles VI, Et Des Revolutions ArrivÈes dans l'Empire sous le RÈgne des Princes de l'Auguste Maison D'Autriche, depuis Rodolphe ComtÈ de Habsbourg jusqu'‡ prÈsent;1741;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Pierre;Massuet;Pierre Massuet;Q3386190;male;117557188;M‰nnlich;;;;;;;;;;;;;;;;;Karl;Heiliges Rˆmisches Reich, Kaiser;118560107;;;;;;;
23;22;I;(b), 2. rang in octav.;65;Allemagne;11;3;Memoires du gouvernement de l'Empire, par Mr D. B. Haie 1721. Qui d'Anne Stuard;voiÈs n. 107.;125;26;24;II. Arm. 4. Rang in Oktavo;15;MÈmoires du gouvernement de l' Empire par M. D. B. ‡ la Haye 1741.;140473467;;1;140473467;M: Gl 3142;M: Gl 3142;Geschichte - Deutsche Geschichte: allgemein;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;MÈmoires Du Gouvernement De L'Empire;1741;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
